,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,SINGLE_OWNER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY
MLM801999890,used,Puebla,Puebla,175000,MXN,Usado,,,,,Delantera,,1193 cc,Dodge,4,,Gasolina,37000 km,Attitude,Manual,1.2 Sxt Mt,2018,,,,
MLM807708220,used,Puebla,Puebla,155000,MXN,Usado,,,,,4x2,,5.4 L,Ford,5,,Gasolina,83000 km,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2007,,,,
MLM802056677,used,Puebla,Puebla,199900,MXN,Usado,4064 mm,5,130 hp,,Delantera,Sí,1497 cc,Honda,5,1.5,Gasolina,42000 km,Fit,Manual,1.5 Fun Mt,2018,,,,
MLM807900278,used,Distrito Federal,Coyoacán,349900,MXN,Usado,4456 mm,4,180 hp,,Delantera,Sí,1.8 L,Audi,4,1.8,Gasolina,39000 km,A3,Automática,1.8 Sedán S Line At,2016,,,,
MLM790123479,used,Distrito Federal,Coyoacán,138500,MXN,Usado,,,,Sí,,,400 cc,BMW,,,Gasolina,600 km,BMW 400 SPORT NUEVA,,,2019,BMW 400,Scooters,,
MLM803012968,used,Distrito Federal,Tlalpan,94900,MXN,Usado,,,,,,,,Nissan,5,,Gasolina,117000 km,X-Terra,,SE,2001,,,,
MLM769159790,used,Puebla,Puebla,155000,MXN,Usado,,,,,Delantera,,1600 cc,Chevrolet,4,,Gasolina,42000 km,Sonic,Manual,1.6 Lt Mt,2016,,,,
MLM813526032,used,Puebla,Puebla,79900,MXN,Usado,,,,,,,,Volkswagen,2,,Gasolina,1000 km,Sedan,,Mt 1982,1982,,,,
MLM811939594,used,Puebla,Puebla,149900,MXN,Usado,4492 mm,5,106 hp,,Delantera,Sí,1598 cc,Nissan,4,1.6,Gasolina,32000 km,Versa,Manual,1.6 Advance Mt,2016,,,,
MLM811464841,used,Puebla,Puebla,175000,MXN,Usado,4442 mm,5,92 hp,,Delantera,Sí,1560 cc,Peugeot,4,1.6,Diésel,40000 km,301,Manual,1.6 Allure Hdi Diesel Mt,2018,,,,
MLM807709372,used,Puebla,Puebla,149900,MXN,Usado,4652 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,76000 km,Jetta,Automática,2.5 Style Active At,2012,,,,
MLM806593548,used,Puebla,Puebla,145000,MXN,Usado,,,,,Delantera,,1.6 L,Renault,2,,Gasolina,64000 km,Kangoo,Manual,1.6 Aa Mt,2015,,,,
MLM813410769,used,Distrito Federal,Coyoacán,494900,MXN,Usado,4782 mm,2,310 hp,Sí,Trasera,Sí,2300 cc,Ford,2,2.3,Gasolina,18000 km,Mustang,Manual,2.3 Coupe Mt,2018,,,,
MLM812912315,used,Distrito Federal,Coyoacán,74900,MXN,Usado,3495 mm,5,,Sí,Trasera,Sí,1 L,Chevrolet,5,1.0,Gasolina,46000 km,Matiz,Manual,1.0 Ls Mt,2014,,,,
MLM803537552,used,Distrito Federal,Coyoacán,839900,MXN,Usado,,,,,4x4,,2995 cc,Audi,5,,Gasolina,14000 km,Serie S,Automática,3.0 S5 Sportback T At,2018,,,,
MLM803018956,used,Distrito Federal,Tlalpan,74900,MXN,Usado,,5,,,Delantera,Sí,3.3 L,Chrysler,5,3.3,Gasolina,112000 km,Voyager,Automática,Lx At,2005,,,,
MLM808171138,used,Puebla,Puebla,135000,MXN,Usado,4652 mm,5,170 hp,,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,72000 km,Jetta,Automática,2.5 Sport Qc At,2011,,,,
MLM805863094,used,Puebla,Puebla,89900,MXN,Usado,,,,,,,,Hyundai,4,,Gasolina,73000 km,Grand i10,,Basico Mt 2013,2013,,,,
MLM796533946,used,Puebla,Puebla,169900,MXN,Usado,,,,,,,,Volkswagen,5,,Gasolina,81000 km,Touareg,,3.6 Limited 2008,2008,,,,
MLM804610082,used,Distrito Federal,Benito Juárez,169000,MXN,Usado,,5,,,4x2,Sí,2 L,Jeep,5,2.0,Gasolina,68000 km,Patriot,Automática,Limited Qc 4x2 Cvt,2012,,,,
MLM803018949,used,Distrito Federal,Tlalpan,258900,MXN,Usado,4624 mm,4,,,Trasera,Sí,2 L,BMW,4,2.0,Gasolina,68000 km,Serie 3,Automática,2.0 320ia Sport Line At,2014,,,,
MLM810634979,used,Distrito Federal,Cuajimalpa De Morelos,290000,MXN,Usado,,5,320 hp,,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,73851 km,Suburban,Automática,5.3 Piel Aa Dvd 2da. Cubo At,2013,,,,
MLM805047489,used,Distrito Federal,Benito Juárez,169000,MXN,Usado,,,,,,,,Volkswagen,4,,Gasolina,79000 km,Passat,,CC 2.0 Turbo DSG,2012,,,,
MLM803018937,used,Distrito Federal,Tlalpan,358900,MXN,Usado,,,,,Delantera,,1395 cc,Audi,4,,Gasolina,28000 km,A3,Automática,1.4 Sedán Select At Dsg,2018,,,,
MLM812846766,used,Distrito Federal,Coyoacán,359900,MXN,Usado,4439 mm,5,192 hp,,4x4,Sí,1998 cc,BMW,5,2.0,Gasolina,36000 km,X1,Automática,2.0 Sdrive 20ia X Line At,2017,,,,
MLM803015326,used,Distrito Federal,Tlalpan,219900,MXN,Usado,,,,,Delantera,,2.5 L,Mazda,4,,Gasolina,37000 km,Mazda 3,Automática,2.5 S Grand Touring Sedan At,2014,,,,
MLM807708666,used,Puebla,Puebla,119900,MXN,Usado,,,,,,,,Peugeot,4,,Gasolina,82000 km,3008,,Premium 2011,2011,,,,
MLM801070040,used,Puebla,Puebla,179900,MXN,Usado,,,,,Delantera,,1.6 L,Volkswagen,4,,Gasolina,50000 km,Vento,Manual,1.6 Confortline Mt,2018,,,,
MLM806988624,used,Distrito Federal,Cuajimalpa De Morelos,332450,MXN,Usado,3850 mm,,192 hp,,Delantera,Sí,1998 cc,Mini,3,2.0,Gasolina,34045 km,Cooper S,Automática,2.0 Chili At,2018,,,,
MLM812841431,used,Distrito Federal,Coyoacán,159900,MXN,Usado,3962 mm,5,120 hp,,Delantera,Sí,1598 cc,Peugeot,5,1.6,Gasolina,59000 km,208,Manual,1.6 Féline Mt,2016,,,,
MLM808118426,used,Puebla,Puebla,174990,MXN,Usado,,,,,Delantera,,2.5 L,Volkswagen,4,,Gasolina,55000 km,Jetta,Automática,2.5 Comfortline Mt At,2015,,,,
MLM803293193,used,Distrito Federal,Coyoacán,135900,MXN,Usado,,,,,Delantera,,1598 cc,Nissan,5,,Gasolina,44000 km,March,Automática,1.6 Sense At,2017,,,,
