,Condition,State,City,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER,Price_MXN
MLM800360180,used,Distrito Federal,Tlalpan,Usado,,,,Delantera,nan,2488.0,Mazda,5.0,nan,Gasolina,24000.0,Mazda 3,Automática,2.5 I Touring At,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,255900.0
MLM773893305,used,Distrito Federal,Alvaro Obregón,Usado,,5.0,290.0,4x2,Sí,3600.0,Jeep,5.0,3.6,Gasolina,1.0,Grand Cherokee,Manual,3.6 Limited Lujo 4x2 Mt,2020.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,824900.0
MLM805525862,used,Puebla,San Andrés Cholula,Usado,,,,4x4,nan,1999.0,Land Rover,5.0,nan,Gasolina,47355.0,Evoque,Automática,2.0 Pure Plus At,2013.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,359900.0
MLM793233292,used,Distrito Federal,Miguel Hidalgo,Usado,,,,Delantera,Sí,,Volkswagen,5.0,nan,Gasolina,25072.0,Gol,Manual,1.6 Trendline Mt 5 p,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,179500.0
MLM807337371,used,Distrito Federal,Venustiano Carranza,Usado,4288.0,5.0,140.0,Delantera,Sí,1800.0,Chevrolet,5.0,1.8,Gasolina,37000.0,Trax,Manual,1.8 Ltz Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,168000.0
MLM726355379,not_specified,Nuevo León,García,,,,,nan,nan,,atro 2021,nan,nan,nan,,ATRO 2021,nan,nan,2021.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,383000.0
MLM810520900,used,Jalisco,Zapopan,Usado,4492.0,2.0,460.0,Trasera,Sí,6162.0,Chevrolet,2.0,6.2,Gasolina,2128.0,Corvette,Automática,6.2 V8 Stingray Z51 At,2019.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,1099000.0
MLM808998816,used,Distrito Federal,Tlalpan,Usado,4090.0,,,Delantera,Sí,1600.0,Renault,3.0,1.6,Gasolina,29000.0,Clio,Manual,1.6 Rs 200 Ed Privilege Mt,2015.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,228900.0
MLM808902228,used,Distrito Federal,Miguel Hidalgo,Usado,,,,nan,Sí,,Volkswagen,4.0,nan,Gasolina,31234.0,Jetta,Automática,2.0 Tiptronic At,2018.0,Sí,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,189000.0
MLM808534114,used,Yucatán,Mérida,Usado,4245.0,4.0,76.0,Delantera,Sí,1193.0,Dodge,4.0,1.2,Gasolina,19500.0,Attitude,Manual,1.2 Se Mt,2018.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,117500.0
MLM807947902,used,Estado De México,Huixquilucan,Usado,4804.0,5.0,,4x4,Sí,3500.0,Mercedes-Benz,5.0,3.5,Gasolina,65000.0,Clase M,Automática,3.5 Ml 350 Cgi Sport Amg,2012.0,nan,nan,nan,nan,,,nan,nan,,nan,,nan,nan,nan,nan,nan,278000.0
