,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM806333672,used,Distrito Federal,Venustiano Carranza,155000.0,MXN,Usado,,,,Delantera,,2.4 L,Dodge,5,,Gasolina,76000 km,Journey,Automática,2.4 Se 5 Pas At,2013,,,,,,,,,,,,,,,,
MLM805842478,used,Puebla,Puebla,669000.0,MXN,Usado,5690 mm,5,355 hp,4x4,Sí,5328 cc,Chevrolet,5,5.4,Gasolina,50000 km,Suburban,Automática,5.4 Premier Piel 4x4 At,2017,,,,,,,,,,,,,,,,
MLM805477641,used,Nuevo León,Monterrey,145000.0,MXN,Usado,,,,,,,Chevrolet,4,,Gasolina,45000 km,Aveo,Automática,LS,2018,,,,,,,,,,,,,,,,
MLM804314730,used,Querétaro,Querétaro,339000.0,MXN,Usado,4480 mm,5,153 hp,Delantera,Sí,1999 cc,Kia,5,2.0,Gasolina,3000 km,Sportage,Automática,2.0 Lx L At,2020,,,,,,,,,,,,,,,,
MLM806737439,used,Jalisco,Guadalajara,1990000.0,MXN,Usado,4671 mm,2,431 hp,Trasera,Sí,2979 cc,BMW,2,3.0,Gasolina,80 km,Serie M,Automática,3.0 M4 Coupe At,2020,,,,,,,,,,,,,,,,
MLM803559307,used,Querétaro,Corregidora,205000.0,MXN,Usado,,,,Delantera,,1390 cc,Volkswagen,5,,Gasolina,82000 km,Golf,Automática,1.4 Comfortline Sport At,2015,,,,,,,,,,,,,,,,
MLM803293643,used,Distrito Federal,Alvaro Obregón,460000.0,MXN,Usado,4735 mm,5,150 hp,4x4,Sí,1.4 L,SEAT,5,1.4,Gasolina,3554 km,Tarraco,Automática,1.4 Tsi Dsg,2019,,,,,,,,,,,,,,,,
MLM803286920,used,Distrito Federal,Iztapalapa,404900.0,MXN,Usado,,,,4x4,,2 L,Subaru,4,,Gasolina,39108 km,WRX,Automática,2.0 At,2016,,,,,,,,,,,,,,,,
MLM802690263,used,Puebla,Puebla,465000.0,MXN,Usado,,,,4x2,,3497 cc,Ford,2,,Gasolina,9376 km,F-150,Automática,3.5 Cabina Regular V6 4x2 At,2019,,,,,,,,,,,,,,,,
MLM800718980,used,Querétaro,Corregidora,315000.0,MXN,Usado,,5,230 hp,4x4,Sí,2 L,Audi,5,2.0,Gasolina,90000 km,Q5,Automática,2.0 Tfsi 230 Hp Luxury At,2016,,,,,,,,,,,,,,,,
MLM800020037,used,Puebla,Puebla,189000.0,MXN,Usado,,,,Delantera,,3.5 L,Honda,5,,Gasolina,100000 km,Odyssey,Automática,3.5 Touring Minivan Cd Qc Dvd At,2010,,,,,,,,,,,,,,,,
MLM799164468,used,Estado De México,Tlalnepantla de Baz,97500.0,MXN,Usado,,,,,,,Volkswagen,5,,Gasolina,78000 km,Bora,,Style,2008,,,,,,,,,,,,,,,,
MLM799038330,used,Estado De México,Atizapán De Zaragoza,125000.0,MXN,Usado,4290 mm,4,115 hp,Delantera,Sí,1598 cc,Dodge,4,1.6,Gasolina,11000 km,Vision,Automática,1.6 At 115 hp,2016,,,,,,,,,,,,,,,,
MLM798361439,used,Estado De México,Lerma,545000.0,MXN,Usado,4656 mm,5,241 hp,4x4,Sí,1991 cc,Mercedes-Benz,5,2.0,Gasolina,52000 km,Clase GLC,Automática,2.0 300 Off Road At,2018,,,,,,,,,,,,,,,,
MLM798208816,used,Distrito Federal,Gustavo A. Madero,189500.0,MXN,Usado,4465 mm,5,106 hp,Delantera,Sí,1598 cc,Nissan,4,1.6,Gasolina,35000 km,Versa,Automática,1.6 Exclusive Navi At,2018,,,,,,,,,,,,,,,,
MLM798104231,used,Jalisco,Lagos De Moreno,428000.0,MXN,Usado,,,,4x2,,2457 cc,Chevrolet,2,,Gasolina,30000 km,Colorado,Automática,2.5 Paq. B 4x2 At,2018,,,,,,,,,,,,,,,,
MLM797944109,used,Puebla,Puebla,490000.0,MXN,Usado,4255 mm,5,290 hp,Delantera,Sí,1984 cc,Volkswagen,5,2.0,Gasolina,15016 km,Golf,Automática,2.0 Dsg Navegación Piel At,2019,,,,,,,,,,,,,,,,
MLM796428773,used,Distrito Federal,Benito Juárez,1390000.0,MXN,Usado,,,,,,,Porsche,2,,Gasolina,125500 km,911 SC Turbo Look,Manual,SC Turbo Look,1982,,,,,,,,,,,,,,,,
MLM799678840,used,Nuevo León,San Pedro Garza García,595000.0,MXN,Usado,,,,Delantera,,1998 cc,Mini,5,,Gasolina,14000 km,John Cooper Works,Automática,2.0 Hot Chilli At,2018,,,,,,,,,,,,,,,,
MLM793021450,used,Puebla,Tehuacan,339000.0,MXN,Usado,5380 mm,,149 hp,Trasera,Sí,2694 cc,Toyota,2,2.7,Gasolina,21799 km,Hiace,Manual,2.7 Panel Super Larga Mt,2019,,,,,,,,,,,,,,,,
